TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST001931	Attention deficit hyperactivity disorder (combined symptoms)	EFO_0003888	D001289
GCST001943	Attention deficit hyperactivity disorder (inattention symptoms)	EFO_0003888	D001289
GCST001944	Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)	EFO_0003888	D001289
GCST001947	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST001951	Alzheimer's disease biomarkers	MONDO_0004975	D000544
GCST001951_2	Alzheimer's disease biomarkers	EFO_0004763;MONDO_0004975	D000544
GCST001957	Obesity (early onset extreme)	EFO_0001073	D009765
GCST001959	Eating disorders (purging via substances)	EFO_0005203	
GCST001960	Eating disorders	EFO_0005203	
GCST001961	Anorexia nervosa	MONDO_0005351	D000856
GCST001963	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST001971	Hypersomnia (HLA-DQB1*06:02 negative)	EFO_0005246	
GCST001975	Psychosis (methamphetamine induced)	EFO_0005242	
GCST001992	Vitiligo (non-segmental)	EFO_0004208	D014820
GCST002068	Chronic hepatitis B infection	EFO_0004197	D019694
GCST002068_2	Chronic hepatitis B infection	EFO_0004239	D019694
GCST002069	Systemic lupus erythematosus and Systemic sclerosis	EFO_0000717;MONDO_0007915	D012595;D008180
GCST002072	Multiple sclerosis (OCB status)	MONDO_0005301	D009103
GCST002078	Migraine without aura	MONDO_0005277	D008881
GCST002079	Migraine - clinic-based	MONDO_0005277	D008881
GCST002080	Migraine with aura	MONDO_0005277	D008881
GCST002080_2	Migraine with aura	MONDO_0005475	D020325
GCST002088	Asthma (childhood onset)	MONDO_0005405	
GCST002117	Myopia (severe)	EFO_0004207	
GCST002141	Epilepsy (remission after treatment)	EFO_0000474;GO_0009410	D004827
GCST002148	Otitis media (chronic/recurrent)	EFO_0004992	D010033
GCST002154	Asthma (bronchodilator response)	GO_0097366	
GCST002161	Alzheimer's disease (neuritic plaque pathology)	MONDO_0004975	D000544
GCST002211	Psychosis (atypical)	EFO_0005407	
GCST002229	Acne (severe teenage)	EFO_0003894	D000152
GCST002231	Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined)	EFO_0000280;EFO_0000405;EFO_0000478	D001471;D007410
GCST002245	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST002254	Schizophrenia, schizoaffective disorder or bipolar disorder	EFO_0005411;MONDO_0004985;MONDO_0005090	D001714
GCST002265	Breast cancer (menopausal hormone therapy interaction)	EFO_0000305;EFO_0003961	D020249
GCST002274	Multiple sclerosis or amyotrophic lateral sclerosis	MONDO_0004976;MONDO_0005301	D000690;D009103
GCST002275	Asthma (childhood onset)	MONDO_0005405	
GCST002295	Schizophrenia or bipolar disorder	MONDO_0004985	D001714
