TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST90081847	Duodenal ulcer (Gene-based burden)	EFO_0004607	D004381
GCST90081848	ICD10 K26: Duodenal ulcer (Gene-based burden)	EFO_0004607	D004381
GCST90081857	Ulcerative colitis (Gene-based burden)	EFO_0000729	D003093
GCST90081858	ICD10 K51: Ulcerative colitis (Gene-based burden)	EFO_0000729	D003093
GCST90081859	Rheumatoid arthritis (Gene-based burden)	EFO_0000685	D001172
GCST90081863	Gout (Gene-based burden)	EFO_0004274	D006073
GCST90081864	ICD10 M10: Gout (Gene-based burden)	EFO_0004274	D006073
GCST90081867	Atrial fibrillation (Gene-based burden)	EFO_0000275	D001281
GCST90081873	Sciatica (Gene-based burden)	HP_0011868	D012585
GCST90081875	Psoriatic arthropathy (Gene-based burden)	EFO_0003778	D015535
GCST90081881	Chronic fatigue syndrome (Gene-based burden)	EFO_0004540	D015673
GCST90081885	Varicose veins (Gene-based burden)	HP_0002619	D014648
GCST90081889	Appendicitis (Gene-based burden)	EFO_0007149	D001064
GCST90081897	Umbilical hernia (Gene-based burden)	HP_0001537	D006554
GCST90081898	Inguinal hernia (Gene-based burden)	HP_0000023	D006552
GCST90081899	ICD10 K40: Inguinal hernia (Gene-based burden)	HP_0000023	D006552
GCST90081900	Cystitis (Gene-based burden)	EFO_1000025	D003556
GCST90081901	ICD10 N30: Cystitis (Gene-based burden)	EFO_1000025	D003556
GCST90081904	Dry eyes (Gene-based burden)	EFO_1000906	D015352
GCST90081909	Back pain (Gene-based burden)	HP_0003418	D001416
GCST90081939	Tinnitus tiniitis (Gene-based burden)	HP_0000360	D014012
GCST90081943	Constipation (Gene-based burden)	HP_0002019	
GCST90081971	Rosacea (Gene-based burden)	EFO_1000760	D012393
GCST90081972	ICD10 L71: Rosacea (Gene-based burden)	EFO_1000760	D012393
GCST90082292	Bipolar disorder status - Bipolar Type I Mania (UKB data field 20122) (Gene-based burden)	MONDO_0004985	D001714
GCST90082293	Bipolar disorder status - Bipolar Type II Hypomania (UKB data field 20122) (Gene-based burden)	MONDO_0004985	D001714
GCST90082295	Bipolar and major depression status - Bipolar I Disorder (UKB data field 20126) (Gene-based burden)	MONDO_0004985	D001714
GCST90082296	Bipolar and major depression status - Bipolar II Disorder (UKB data field 20126) (Gene-based burden)	MONDO_0004985	D001714
GCST90082297	Bipolar and major depression status - Probable Recurrent major depression severe (UKB data field 20126) (Gene-based burden)	MONDO_0002009	D003865
GCST90082298	Bipolar and major depression status - Probable Recurrent major depression moderate (UKB data field 20126) (Gene-based burden)	MONDO_0002009	D003865
GCST90082299	Bipolar and major depression status - Single Probable major depression episode (UKB data field 20126) (Gene-based burden)	MONDO_0002009	D003865
GCST90082379	Myopia diagnosis - moderate low myopia (UKB data field 20262) (Gene-based burden)	HP_0000545	D009216
GCST90082380	Myopia diagnosis - highly myopic (UKB data field 20262) (Gene-based burden)	HP_0000545	D009216
GCST90082452	Depression possibly related to childbirth (UKB data field 20445) (Gene-based burden)	MONDO_0002009	D003865
GCST90082454	Depression possibly related to stressful or traumatic event (UKB data field 20447) (Gene-based burden)	MONDO_0002009	D003865
GCST90082623	Depression (UKB data field 20544) (Gene-based burden)	MONDO_0002009	D003865
GCST90082626	Anorexia nervosa (UKB data field 20544) (Gene-based burden)	MONDO_0005351	D000856
GCST90082848	Asthma (UKB data field 22127) (Gene-based burden)	MONDO_0004979	D001249
GCST90082849	Chronic bronchitis (UKB data field 22129) (Gene-based burden)	EFO_0006505	D029481
GCST90082851	Bronchiectasis (UKB data field 22134) (Gene-based burden)	MONDO_0004822	D001987
GCST90082852	Tuberculosis (UKB data field 22137) (Gene-based burden)	MONDO_0018076	D014376
GCST90082858	Cough on most days (UKB data field 22502) (Gene-based burden)	HP_0012735	D003371
GCST90082935	Diabetes mellitus (UKB data field 2443) (Gene-based burden)	EFO_0000400	D003920
GCST90083049	Back pain for three months (UKB data field 3571) (Gene-based burden)	HP_0003418	D001416
GCST90083101	Malignant neoplasm of bladder, unspecified (UKB data field 40006) (Gene-based burden)	MONDO_0004986	
GCST90083102	Malignant neoplasm of bladder (UKB data field 40006) (Gene-based burden)	MONDO_0004986	
GCST90083108	Multiple myeloma (UKB data field 40006) (Gene-based burden)	EFO_0001378	D009101
GCST90083109	Multiple myeloma and malignant plasma cell neoplasms (UKB data field 40006) (Gene-based burden)	EFO_0001378	D009101
GCST90083111	Lymphoid leukemia (UKB data field 40006) (Gene-based burden)	EFO_0004289	D007945
GCST90083121	Neoplasm of uncertain behavior of bladder (UKB data field 40006) (Gene-based burden)	EFO_0000294	
GCST90083122	Neoplasm of uncertain behavior of urinary organs (UKB data field 40006) (Gene-based burden)	MONDO_0021066	
GCST90083203	Shortness of breath walking on level ground (UKB data field 4717) (Gene-based burden)	EFO_0009727	
GCST90083206	Tinnitus - Yes now most or all of the time (UKB data field 4803) (Gene-based burden)	HP_0000360	D014012
GCST90083207	Tinnitus - Yes now a lot of the time (UKB data field 4803) (Gene-based burden)	HP_0000360	D014012
GCST90083208	Tinnitus - Yes now some of the time (UKB data field 4803) (Gene-based burden)	HP_0000360	D014012
GCST90083209	Tinnitus - Yes but not now but have in the past (UKB data field 4803) (Gene-based burden)	HP_0000360	D014012
GCST90083210	Tinnitus severity nuisance - Severely (UKB data field 4814) (Gene-based burden)	HP_0000360	D014012
GCST90083211	Tinnitus severity nuisance - Moderately (UKB data field 4814) (Gene-based burden)	HP_0000360	D014012
GCST90083212	Tinnitus severity nuisance - Slightly (UKB data field 4814) (Gene-based burden)	HP_0000360	D014012
GCST90083213	Tinnitus severity nuisance - Not at all (UKB data field 4814) (Gene-based burden)	HP_0000360	D014012
GCST90083257	Astigmatism angle right (UKB data field 5088) (Gene-based burden)	HP_0000483	D001251
GCST90083258	Astigmatism angle left (UKB data field 5089) (Gene-based burden)	HP_0000483	D001251
GCST90083331	Amblyopia - right eye (UKB data field 5408) (Gene-based burden)	MONDO_0001020	D000550
GCST90083332	Amblyopia - left eye (UKB data field 5408) (Gene-based burden)	MONDO_0001020	D000550
GCST90083333	Cataract - right eye (UKB data field 5441) (Gene-based burden)	MONDO_0005129	D002386
GCST90083334	Cataract - left eye (UKB data field 5441) (Gene-based burden)	MONDO_0005129	D002386
GCST90083335	Cataract - both eyes (UKB data field 5441) (Gene-based burden)	MONDO_0005129	D002386
GCST90083344	Leg pain on walking - effect of standing still - Pain usually continues for more than 10 minutes (UKB data field 5518) (Gene-based burden)	HP_0012514	
GCST90083345	Leg pain on walking - effect of standing still - Pain usually disappears in less than 10 minutes (UKB data field 5518) (Gene-based burden)	HP_0012514	
GCST90083350	Presbyopia - right eye (UKB data field 5610) (Gene-based burden)	MONDO_0001330	D011305
GCST90083351	Presbyopia - left eye (UKB data field 5610) (Gene-based burden)	MONDO_0001330	D011305
GCST90083352	Presbyopia - both eyes (UKB data field 5610) (Gene-based burden)	MONDO_0001330	D011305
GCST90083374	Myopia - right eye (UKB data field 5843) (Gene-based burden)	HP_0000545	D009216
GCST90083375	Myopia - left eye (UKB data field 5843) (Gene-based burden)	HP_0000545	D009216
GCST90083376	Myopia - both eyes (UKB data field 5843) (Gene-based burden)	HP_0000545	D009216
GCST90083377	Astigmatism - right eye (UKB data field 5855) (Gene-based burden)	HP_0000483	D001251
GCST90083378	Astigmatism - left eye (UKB data field 5855) (Gene-based burden)	HP_0000483	D001251
GCST90083379	Astigmatism - both eyes (UKB data field 5855) (Gene-based burden)	HP_0000483	D001251
GCST90083415	Glaucoma - both eyes (UKB data field 6119) (Gene-based burden)	MONDO_0005041	D005901
GCST90083417	Glaucoma (UKB data field 6148) (Gene-based burden)	MONDO_0005041	D005901
GCST90083419	Cataract (UKB data field 6148) (Gene-based burden)	MONDO_0005129	D002386
GCST90083423	Painful gums (UKB data field 6149) (Gene-based burden)	EFO_1001047	D009059
GCST90083430	Stroke (UKB data field 6150) (Gene-based burden)	EFO_0000712	D020521
GCST90083442	Asthma (UKB data field 6152) (Gene-based burden)	MONDO_0004979	D001249
GCST90083464	Pain types experienced in last month - Headache (UKB data field 6159) (Gene-based burden)	EFO_0003843	D010146
GCST90083465	Pain types experienced in last month - Facial pain (UKB data field 6159) (Gene-based burden)	EFO_0003843	D010146
GCST90083466	Pain types experienced in last month - Neck or shoulder pain (UKB data field 6159) (Gene-based burden)	EFO_0003843	D010146
GCST90083467	Pain types experienced in last month - Back pain (UKB data field 6159) (Gene-based burden)	EFO_0003843	D010146
GCST90083468	Pain types experienced in last month - Stomach or abdominal pain (UKB data field 6159) (Gene-based burden)	EFO_0003843	D010146
GCST90083469	Pain types experienced in last month - Hip pain (UKB data field 6159) (Gene-based burden)	EFO_0003843	D010146
GCST90083470	Pain types experienced in last month - Knee pain (UKB data field 6159) (Gene-based burden)	EFO_0003843	D010146
GCST90083471	Pain types experienced in last month - Pain all over the body (UKB data field 6159) (Gene-based burden)	EFO_0003843	D010146
GCST90083518	ICD M45: Ankylosing spondylitis - B27 positive (Gene-based burden)	EFO_0003898	D013167
GCST90083519	ICD SR: Ankylosing spondylitis - B27 negative (Gene-based burden)	EFO_0003898	D013167
GCST90083520	ICD SR: Ankylosing spondylitis - B27 positive (Gene-based burden)	EFO_0003898	D013167
GCST90083521	ICD SR: Ankylosing spondylitis (Gene-based burden)	EFO_0003898	D013167
GCST90083522	ICD M45: Ankylosing spondylitis (Gene-based burden)	EFO_0003898	D013167
GCST90083530	ICD10 A41.5: Sepsis due to other Gram-negative organisms (Gene-based burden)	HP_0100806	
GCST90083531	ICD10 A41.9: Sepsis, unspecified organism (Gene-based burden)	HP_0100806	
GCST90083537	ICD10 B34.9: Viral infection, unspecified (Gene-based burden)	EFO_0000763	D014777
GCST90083538	ICD10 B34: Viral infection of unspecified site (Gene-based burden)	EFO_0000763	D014777
GCST90083539	ICD10 B35: Dermatophytosis (Gene-based burden)	MONDO_0004678	
GCST90083542	ICD10 B37.3: Candidiasis of vulva and vagina (Gene-based burden)	EFO_0007543	D002181
GCST90083544	ICD10 B37.4: Candidiasis of other urogenital sites (Gene-based burden)	MONDO_0002026	D002177
GCST90083545	ICD10 B37.8: Candidiasis of other sites (Gene-based burden)	MONDO_0002026	D002177
GCST90083546	ICD10 B37: Candidiasis (Gene-based burden)	MONDO_0002026	D002177
GCST90083552	ICD10 B96.2: Escherichia coli [E. coli ] as the cause of diseases classified elsewhere (Gene-based burden)	EFO_0000771	D001424
GCST90083597	ICD10 C67.9: Malignant neoplasm of bladder, unspecified (Gene-based burden)	MONDO_0004986	
GCST90083598	ICD10 C67: Malignant neoplasm of bladder (Gene-based burden)	MONDO_0004986	
GCST90083607	ICD10 C78.0: Secondary malignant neoplasm of lung (Gene-based burden)	EFO_0009812	
GCST90083608	ICD10 C78.2: Secondary malignant neoplasm of pleura (Gene-based burden)	EFO_0009812	
GCST90083609	ICD10 C78.6: Secondary malignant neoplasm of retroperitoneum and peritoneum (Gene-based burden)	EFO_0009812	
GCST90083610	ICD10 C78.7: Secondary malignant neoplasm of liver and intrahepatic bile duct (Gene-based burden)	EFO_0009812	
GCST90083611	ICD10 C78: Secondary malignant neoplasm of respiratory and digestive organs (Gene-based burden)	EFO_0009812	
GCST90083612	ICD10 C79.3: Secondary malignant neoplasm of brain and cerebral meninges (Gene-based burden)	EFO_0009812	
GCST90083613	ICD10 C79.5: Secondary malignant neoplasm of bone and bone marrow (Gene-based burden)	EFO_0009812	
GCST90083614	ICD10 C79.8: Secondary malignant neoplasm of other specified sites (Gene-based burden)	EFO_0009812	
GCST90083615	ICD10 C79: Secondary malignant neoplasm of other and unspecified sites (Gene-based burden)	EFO_0009812	
GCST90083625	ICD10 C90.0: Multiple myeloma (Gene-based burden)	EFO_0001378	D009101
GCST90083626	ICD10 C90: Multiple myeloma and malignant plasma cell neoplasms (Gene-based burden)	EFO_0001378	D009101
GCST90083628	ICD10 C91: Lymphoid leukemia (Gene-based burden)	EFO_0004289	D007945
GCST90083629	ICD10 C92: Myeloid leukemia (Gene-based burden)	EFO_0002427	
GCST90083645	ICD10 D12.6: Benign neoplasm of colon, unspecified (Gene-based burden)	EFO_0002422	
GCST90083648	ICD10 D12: Benign neoplasm of colon, rectum, anus and anal canal (Gene-based burden)	EFO_0002422	
GCST90083657	ICD10 D18: Hemangioma and lymphangioma, any site (Gene-based burden)	EFO_1000635;MONDO_0002013	D006391;D008202
GCST90083670	ICD10 D24: Benign neoplasm of breast (Gene-based burden)	EFO_0002422	
GCST90083677	ICD10 D29: Benign neoplasm of male genital organs (Gene-based burden)	EFO_0002422	
GCST90083682	ICD10 D37: Neoplasm of uncertain behavior of oral cavity and digestive organs (Gene-based burden)	EFO_0000616	D009369
GCST90083683	ICD10 D41.4: Neoplasm of uncertain behavior of bladder (Gene-based burden)	EFO_0000616	D009369
GCST90083684	ICD10 D41: Neoplasm of uncertain behavior of urinary organs (Gene-based burden)	EFO_0000616	D009369
GCST90083686	ICD10 D48: Neoplasm of uncertain behavior of other and unspecified sites (Gene-based burden)	EFO_0000616	D009369
GCST90083687	ICD10 D50.0: Iron deficiency anemia secondary to blood loss (chronic) (Gene-based burden)	HP_0001891	D018798
GCST90083693	ICD10 D61.9: Aplastic anemia, unspecified (Gene-based burden)	HP_0001915	D000741
GCST90083695	ICD10 D63.0: Anemia in neoplastic disease (Gene-based burden)	EFO_0004272	D000740
GCST90083696	ICD10 D63.165.8: Anemia in chronic kidney disease (Gene-based burden)	EFO_0004272	D000740
GCST90083698	ICD10 D64: Other anemias (Gene-based burden)	EFO_0004272	D000740
GCST90083700	ICD10 D69.6: Thrombocytopenia, unspecified (Gene-based burden)	HP_0001873	
GCST90083701	ICD10 D69: Purpura and other hemorrhagic conditions (Gene-based burden)	MONDO_0002243	D006474
GCST90083702	ICD10 D70: Neutropenia (Gene-based burden)	MONDO_0001475	D009503
GCST90083704	ICD10 D73: Diseases of spleen (Gene-based burden)	EFO_0009002	D013158
GCST90083707	ICD10 E03.9: Hypothyroidism, unspecified (Gene-based burden)	EFO_0004705	D007037
GCST90083710	ICD10 E04.2: Nontoxic multinodular goiter (Gene-based burden)	MONDO_0001658	
GCST90083717	ICD10 E10.3: Type 1 diabetes mellitus with ophthalmic complications (Gene-based burden)	MONDO_0005147	D003922
GCST90083718	ICD10 E10.9: Type 1 diabetes mellitus without complications (Gene-based burden)	MONDO_0005147	D003922
GCST90083719	ICD10 E10: Type 1 diabetes mellitus (Gene-based burden)	MONDO_0005147	D003922
GCST90083720	ICD10 E11.319.: Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema (Gene-based burden)	MONDO_0005148	D003924
GCST90083721	ICD10 E11.31: Type 2 diabetes mellitus with unspecified diabetic retinopathy (Gene-based burden)	MONDO_0005148	D003924
GCST90083722	ICD10 E11.329.9: Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye (Gene-based burden)	MONDO_0005148	D003924
GCST90083723	ICD10 E11.329.: Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema (Gene-based burden)	MONDO_0005148	D003924
GCST90083724	ICD10 E11.32: Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy (Gene-based burden)	MONDO_0005148	D003924
GCST90083725	ICD10 E11.3: Type 2 diabetes mellitus with ophthalmic complications (Gene-based burden)	MONDO_0005148	D003924
GCST90083726	ICD10 E11.4: Type 2 diabetes mellitus with neurological complications (Gene-based burden)	MONDO_0005148	D003924
GCST90083727	ICD10 E11.9: Type 2 diabetes mellitus without complications (Gene-based burden)	MONDO_0005148	D003924
GCST90083728	ICD10 E11: Type 2 diabetes mellitus (Gene-based burden)	MONDO_0005148	D003924
GCST90083735	ICD10 E16.2: Hypoglycemia, unspecified (Gene-based burden)	HP_0001943	D007003
GCST90083738	ICD10 E21.3: Hyperparathyroidism, unspecified (Gene-based burden)	EFO_0008506	D006961
GCST90083739	ICD10 E21: Hyperparathyroidism and other disorders of parathyroid gland (Gene-based burden)	EFO_0008506	D006961
GCST90083742	ICD10 E28: Ovarian dysfunction (Gene-based burden)	EFO_0009003	
GCST90083745	ICD10 E55.9: Vitamin D deficiency, unspecified (Gene-based burden)	EFO_0003762	D014808
GCST90083746	ICD10 E55: Vitamin D deficiency (Gene-based burden)	EFO_0003762	D014808
GCST90083749	ICD10 E66.9: Obesity, unspecified (Gene-based burden)	EFO_0001073	D009765
GCST90083753	ICD10 E78.5: Hyperlipidemia, unspecified (Gene-based burden)	MONDO_0021187	D006949
GCST90083756	ICD10 E83.4: Disorders of magnesium metabolism (Gene-based burden)	EFO_0009556	
GCST90083758	ICD10 E83: Disorders of mineral metabolism (Gene-based burden)	EFO_0009556	
GCST90083761	ICD10 E87.2: Acidosis (Gene-based burden)	EFO_1000014	D000138
GCST90083764	ICD10 E87.7: Fluid overload (Gene-based burden)	HP_0011105	
